"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []"
12.7,0.45,311.25166,61.25166,7249.03573228408
12.7,0.45,312.001664,62.001664,7243.98648430582
12.7,0.45,312.751668,62.751668,7236.20891018836
12.7,0.45,313.501672,63.501672,7228.23758136514
12.7,0.45,314.251676,64.251676,7227.14766845591
12.7,0.45,315.00168,65.00168,7240.0175314037
12.7,0.45,315.751684,65.751684,7252.88739435147
12.7,0.45,316.501688,66.501688,7259.68175621285
12.7,0.45,317.251692,67.251692,7274.20893879697
12.7,0.45,318.001696,68.001696,7288.7361213811
12.7,0.45,318.7517,68.7517,7309.59690911383
12.7,0.45,319.501704,69.501704,7329.74992540317
12.7,0.45,320.251708,70.251708,7363.74966902276
12.7,0.45,321.001712,71.001712,7397.74941264234
12.7,0.45,321.751716,71.751716,7434.38588761405
12.7,0.45,322.50172,72.50172,7471.7255953531
12.7,0.45,323.251724,73.251724,7492.40222454624
12.7,0.45,324.001728,74.001728,7542.06505893118
12.7,0.45,324.751732,74.751732,7589.87219592602
12.7,0.45,325.501736,75.501736,7637.67933292086
12.7,0.45,326.25174,76.25174,7685.48646991571
12.7,0.45,327.001744,77.001744,7740.20484640675
12.7,0.45,327.751748,77.751748,7783.80306390477
12.7,0.45,328.501752,78.501752,7838.66453042832
12.7,0.45,329.251756,79.251756,7894.74685369998
12.7,0.45,330.00176,80.00176,7948.68661282505
12.7,0.45,330.751764,80.751764,8002.62637195012
12.7,0.45,331.501768,81.501768,8058.91049306644
12.7,0.45,332.251772,82.251772,8112.47917313127
12.7,0.45,333.001776,83.001776,8166.0478531961
12.7,0.45,333.75178,83.75178,8219.61653326093
12.7,0.45,334.501784,84.501784,8273.18521332575
12.7,0.45,335.251788,85.251788,8326.75389339058
12.7,0.45,336.001792,86.001792,8380.32257345541
12.7,0.45,336.751796,86.751796,8433.46094847068
12.7,0.45,337.5018,87.5018,8469.97568642765
12.7,0.45,338.251804,88.251804,8506.49042438462
12.7,0.45,339.001808,89.001808,8543.0051623416
12.7,0.45,339.751812,89.751812,8579.51990029857
12.7,0.45,340.501816,90.501816,8616.03463825554
12.7,0.45,341.25182,91.25182,8629.27581074847
12.7,0.45,342.001824,92.001824,8644.90500149001
12.7,0.45,342.751828,92.751828,8668.63148096692
12.7,0.45,343.501832,93.501832,8661.62596311858
12.7,0.45,344.251836,94.251836,8654.62044527024
12.7,0.45,345.00184,95.00184,8647.6149274219
12.7,0.45,345.751844,95.751844,8645.65312964001
12.7,0.45,346.501848,96.501848,8583.10761461995
12.7,0.45,347.251852,97.251852,8579.00451325295
12.7,0.45,348.001856,98.001856,8504.3685073499
